操作時間,指令,類別,股票代碼,股票名稱,股數,股價,金額,損益
2025-09-08 14:00:19,!random -> !ry,庫存,4952,凌通,455,41.75,18996.25,
2025-09-08 14:00:19,!random -> !ry,操作,4952,凌通,455,41.75,18996.25,
2025-09-08 14:00:39,!sell,庫存,4952,凌通,-455,41.75,-18996.25,
2025-09-08 14:00:39,!sell,操作,4952,凌通,-455,41.75,18996.25,
2025-09-08 14:00:39,!sell,損益,4952,凌通,455,41.75,18996.25,0.0
2025-09-09 10:55:00,!monkey,庫存,5288,豐祥-KY,746,126.0,93996.0,
2025-09-09 10:55:00,!monkey,操作,5288,豐祥-KY,746,126.0,93996.0,
2025-09-09 23:28:51,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-09 23:29:46,!monkey,庫存,5288,豐祥-KY,-541,1.0,-541.0,
2025-09-09 23:29:46,!monkey,操作,5288,豐祥-KY,-541,1.0,541.0,
2025-09-09 23:29:46,!monkey,損益,5288,豐祥-KY,541,1.0,541.0,-67625.0
2025-09-10 00:41:05,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 00:41:22,!monkey,庫存,5288,豐祥-KY,-31,1.0,-31.0,
2025-09-10 00:41:22,!monkey,操作,5288,豐祥-KY,-31,1.0,31.0,
2025-09-10 00:41:22,!monkey,損益,5288,豐祥-KY,31,1.0,31.0,-14101.22
2025-09-10 03:18:05,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:18:40,!monkey,庫存,5288,豐祥-KY,-54,1.0,-54.0,
2025-09-10 03:18:40,!monkey,操作,5288,豐祥-KY,-54,1.0,54.0,
2025-09-10 03:18:40,!monkey,損益,5288,豐祥-KY,54,1.0,54.0,-28939.66
2025-09-10 03:18:45,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:18:52,!monkey,庫存,2484,希華,4063,21.9,88979.7,
2025-09-10 03:18:52,!monkey,操作,2484,希華,4063,21.9,88979.7,
2025-09-10 03:18:52,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:18:59,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:19:04,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:19:11,!monkey,庫存,3168,眾福科,733,49.05,35953.65,
2025-09-10 03:19:11,!monkey,操作,3168,眾福科,733,49.05,35953.65,
2025-09-10 03:19:11,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:19:25,!monkey,庫存,3135,凌航,2279,32.9,74979.1,
2025-09-10 03:19:25,!monkey,操作,3135,凌航,2279,32.9,74979.1,
2025-09-10 03:19:25,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 03:19:31,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:48:44,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:49:08,!monkey,系統紀錄,MONKEY_CD,猴子冷卻紀錄,0,0,0,
2025-09-10 12:49:18,!monkey,庫存,5288,豐祥-KY,-71,1.0,-71.0,
2025-09-10 12:49:18,!monkey,操作,5288,豐祥-KY,-71,1.0,71.0,
2025-09-10 12:49:18,!monkey,損益,5288,豐祥-KY,71,1.0,71.0,-55172.92
